"Name","Definition","Status","Related Terms","Synonyms","Acronym","Experts","Stewards","Resources","[Attribute][Business Glossary]Domain","[Attribute][Business Glossary]Equivalent Phrases","[Attribute][Business Glossary]System-Table-Field"
"Imperfect Qa (APS)","The imperfect QA percent should be supplied by Finance at the beginning of each fiscal year.  The imperfect QA percent will default to 0.00% for Casualwear and Champion skus, as Casualwear and Champion are not valuing imperfects and irregulars differently at this time. 
""	Imperfect QA- The imperfect QA percent should be entered .03 to mean 3.0%
""	Imperfect QA- The imperfect QA percent for purchased items is 0.00%
 ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-MFG_PATH-IMPERFECT_QA"
"Component Unit of Measure","The unit for the component quantity.
The system determines the unit as follows:
�Material items with a  material master record - base unit of measure from the material master record.
�Non-stock items without a material master record, document items, and text items - unit defined in customizing functions for BOMs as the default value or modification parameter.
�Class items - unit defined in the additional data of the class.
Additional units for material items with a material master record:
�For material items, you can maintain alternative units of measure to the base unit of measure in the material master.
In bills of material, not all alternative units of measure are taken into account - only the unit of issue.
�Possible values are:
? base unit of measure
? unit of issue
?units of measure that have the same dimension as either the base unit of measure or the unit of issue
�If you enter no unit, the system proposes a unit from the material master if the item has a material master:
If the unit of issue was entered on the storage detail screen, the system copies this unit. Otherwise, it copies the base unit of measure.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STPO-MEINS"
"Retail Display Height (APS)","Dimensional height for retail dislay","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_REVISION-RETAIL_DISPLAY_HEIGHT"
"Prod featurepant length","Product feature representing pant length","Approved","","","","Lane.Bryant@hanes.com:PRODUCT DEV Lane Bryant (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZPRODFEATURE_PANTLENGTH"
"Finishing Indicator (APS)","Indicator If Plant Is A Finishing Plant","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-FINISHING IND"
"ORDER METHOD","Internal reporting field that is used to track the source of the order (EDI, Manual Entry)","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"BP Relationship Number","The business partner relationship number is an internal number that identifies the business partner relationship set.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","Business Partner Relationship No","MDG-BUT051-RELNR"
"Attribution Method (PLM)","Method by which an embellishment is applied to a product garment","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill;","","Material-Product","","PLM-Product-hbiErpAttributionmethod"
"INVENTORY COMPARISON","Inventory Comparison report compares S/4 inventory with what was received in the file","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Material Create Date (APS)","A phrase or string of numbers that denotes a specific day of the month or year that initiates an activity in a specific object in a system. It usually consists of the name or number of the month, the number of the day, and the number of the year.


","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-CREATE_DATE, APS-STYLE_RSVN-CREATE_DATE"
"Site Street and House Number","Street and house number as part of the address.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-STRAS"
"PRICING CONDITION","XSRP (Suggested Retail price)
XCRP (Current Retail price)","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Supplier City","City name as part of the address.
The city name is saved redundantly in another database field in upper- case letters, for search help.
If the Postal regional structure ('city file') is active, the city name is checked against the Cities defined in the regional structure.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFA1-ORT01, MDG-ADRC-CITY1, MDG-ADRC-MC_CITY1"
"Gtin Size  Code (APS)","A 3 character alph and numeric unique identifier assigned to proportions in manufactured, purchased or selling product by the Marketing Department.","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-ITEM_SIZE-GTIN_SIZE_CD"
"Underdelivery Tolerance Limit","Under-deliveries are seen as partial deliveries in the process and are usually allowed, as they do not exceed a defined quantity. In  the purchase order item, a percentage can also be entered for under-delivery tolerance. A warning message is not issued if  the total of entered quantities is within the amount defined for the underdelivered tolerance. If  total entered is under the tolerance, system should issue a warning message.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","","MDG-EINE-UNTTO"
"Distribution Center (AFS)","Distribution centers are logistics facilities that store finished goods before they're picked and packed to fulfill customer orders. In a sense, they can be thought of as specialized, strategically located warehouses.","Approved","","","DC","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Customer DC","AFS-KNVV-FSH_MSOCDC"
"SuperCPG Cust Group ID (IBP)","ID code for the Super CPG Customer Group","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","IBP-Customer-ZZSCPGCUSTGROUPID"
"Listing procedure for distr center assortment categories","Procedure to be used to list materials for distribution center assortments. The listing procedure determines which checks are made when materials or assortment modules are assigned to assortments.
You can also define a fixed listing procedure for the assortment itself. This listing procedure then takes precedence over the procedure entered on the Listing data screen. However, you can configure the listing procedure such that the system ignores assortment-specific listing procedures (for example, for a general listing in the case of promotions).","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MVKE-LSTVZ, MDG-MAW1-LSTVZ"
"Mfg Revision No (APS)","The manufacturing revision number is the revision number we are sending back to the AS400 for planning/manufacturing.  The manufacturing revision number will default to 0 for Casualwear and Champion, as they do not have the ability to utilize revision number at this time.  For Printables skus, a revision number must be entered.  AT initial setup up FOR a Printables SKU. The manufacturing revision number must be 0.  Manufacturing Revision NUMBER. THE manufacturing revision number for all non-garment skus must be 0.","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU-MFG_REVISION_NO"
"LRP Style (PLM)","Long Range Planning style is a Parent style shared across brands and channels. ","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill;","","Material-Product","","PLM-Product-hbiErpLRPStyle"
"Quick Turn Market Available (IBP)","Recommend Decoupling Point for system to create buffer levels.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-QUICKTURNMARKET"
"Distribution-chain-specific material status","Indicates whether, for a specific distribution chain, the material may be used in individual functions in Sales and Distribution.
The distribution-chain-specific material status restricts the usability of the material for the distribution chain concerned, that is, it defines whether a warning or error message is displayed if you include the material in a particular function.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MVKE-VMSTA"
"Purchasing Info Record Planned Delivery Time in Days","Number of calendar days needed to obtain the material or service if it is procured externally.
If you have different vendors for a material, you must specify an average value. The same applies if you order the material from a fixed vendor that has varying delivery times.
Dependencies: If you use the SAP Retail System, the planned delivery time can be suggested from the vendor sub-range in the vendor master record.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","","MDG-EINE-APLFZ"
"Prime Mfg Location (APS)","The location should be the plant code in which the specified activity occurs.  


","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-MFG_PATH-PRIME_MFG_LOCATION"
"Group Strategy (AFS)","It is s system populated field that we should, not touch","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","AFS-KNVV-J_3AGRSGY"
"IBP Location is Valid (IBP)","This attribute is used to specify whether location is still valid or not","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","IBP-Location-LOCVALID"
"Plant profile","The plant profile is a classifying characteristic within the plant master records. With the plant profile, you specify
�the range in which the number of the plant must lie, and
�which specifications are necessary or possible in the master record.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-WRF1-BETRP"
"Bom Spec Id (APS)","
A UNIQUE IDENTIFIER desginated TO THE specific specifications associated WITH THE BOM ID 
","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-BILL_OF_MTRLS-BOM_SPEC_ID"
"Shipping Point-Receiving Point","The physical location (for example, a warehouse or collection of loading ramps) from which you ship the item.
Use
You can predefine shipping/receiving points in the system, based on different combinations of
� Plants
� Shipping conditions
� Loading groups
During delivery processing, the shipping/receiving point is the most important criterion that you use to select deliveries.
A delivery can be shipped from only one shipping point or received at only one receiving point.
If you want to provide more detailed information about a shipping point you can specify a loading point (for example, one of a number of different loading ramps).
Example
If, for example, you want to ship refrigerated goods to a certain customer by rail, the system proposes a shipping point with a suitable location and equipment for loading refrigerated goods onto rail cars.
Procedure
The system can propose a shipping/receiving point. If valid alternatives are predefined in your system, you can change the shipping/receiving point manually.
You can define a user-specific default value for the shipping point in the user parameter VST.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-VSTEL"
